latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.3315,-92.6667,346.48,0.51,0.41,2024-01-29,1940,N21,VIIRS,n,2.0NRT,309.12,9.82,D
15.33103,-92.66385,354.37,0.51,0.41,2024-01-29,1940,N21,VIIRS,n,2.0NRT,311.16,15.5,D
15.33038,-92.66851,331.43,0.51,0.41,2024-01-29,1940,N21,VIIRS,l,2.0NRT,304.74,3.31,D
15.33212,-92.66203,337.78,0.51,0.41,2024-01-29,1940,N21,VIIRS,n,2.0NRT,307.71,6.95,D
15.33231,-92.659,334.69,0.39,0.36,2024-01-30,1921,N21,VIIRS,n,2.0NRT,304.51,4.47,D
15.33174,-92.6626,339.43,0.39,0.36,2024-01-30,1921,N21,VIIRS,n,2.0NRT,309.06,5.95,D
15.46297,-92.8836,337.27,0.39,0.36,2024-02-04,1927,N21,VIIRS,l,2.0NRT,311.74,12.29,D
15.3883,-92.74665,336.1,0.39,0.36,2024-02-04,1927,N21,VIIRS,n,2.0NRT,305.1,3.66,D
16.00418,-93.21552,303.15,0.47,0.4,2024-02-05,0800,N21,VIIRS,n,2.0NRT,287.92,0.96,N
15.84098,-92.91206,303.45,0.44,0.63,2024-02-08,0703,N21,VIIRS,n,2.0NRT,287.32,1.51,N
15.42142,-92.83633,336.41,0.42,0.45,2024-02-16,1902,N21,VIIRS,n,2.0NRT,303.42,4.42,D
15.85575,-93.04105,314.52,0.45,0.63,2024-02-24,0703,N21,VIIRS,n,2.0NRT,288.95,3.08,N
15.85539,-93.03775,303.7,0.45,0.63,2024-02-24,0703,N21,VIIRS,n,2.0NRT,288.48,1.81,N
15.84972,-93.0394,300,0.45,0.63,2024-02-24,0703,N21,VIIRS,n,2.0NRT,288.21,1.81,N
15.8737,-92.94775,335,0.39,0.36,2024-03-07,1927,N21,VIIRS,n,2.0NRT,305.86,2.07,D
15.59243,-93.06212,304.92,0.43,0.46,2024-03-10,0722,N21,VIIRS,n,2.0NRT,292.27,0.73,N
15.70691,-92.60738,309.89,0.43,0.46,2024-03-13,0805,N21,VIIRS,n,2.0NRT,289.72,1.49,N
15.80443,-92.7359,340.34,0.39,0.36,2024-03-18,1921,N21,VIIRS,n,2.0NRT,300.32,3.03,D
15.32206,-92.64556,332.49,0.42,0.37,2024-03-20,0735,N21,VIIRS,n,2.0NRT,296.44,5.26,N
15.38077,-92.73524,313.23,0.42,0.38,2024-03-20,0735,N21,VIIRS,n,2.0NRT,295.42,2.14,N
15.51205,-92.55618,347.85,0.45,0.63,2024-03-21,2006,N21,VIIRS,n,2.0NRT,292.5,14.62,D
15.51249,-92.55198,367,0.46,0.63,2024-03-21,2006,N21,VIIRS,h,2.0NRT,294.41,14.62,D
15.51143,-92.55297,350.16,0.45,0.63,2024-03-21,2006,N21,VIIRS,n,2.0NRT,293.8,13.16,D
15.72702,-93.13303,330.29,0.4,0.44,2024-03-22,1949,N21,VIIRS,n,2.0NRT,302.46,2.83,D
15.37929,-92.73524,332.01,0.42,0.45,2024-03-22,1949,N21,VIIRS,l,2.0NRT,303.93,4.78,D
15.34589,-92.63801,340.74,0.4,0.44,2024-03-26,0722,N21,VIIRS,n,2.0NRT,291.66,3.79,N
15.34943,-92.63364,305.44,0.4,0.44,2024-03-26,0722,N21,VIIRS,n,2.0NRT,290.12,3.79,N
15.34991,-92.63731,311.12,0.4,0.44,2024-03-26,0722,N21,VIIRS,n,2.0NRT,289.67,3.79,N
15.3454,-92.63424,314.04,0.4,0.44,2024-03-26,0722,N21,VIIRS,n,2.0NRT,290.25,3.79,N
15.95302,-93.06132,367,0.7,0.75,2024-03-26,1832,N21,VIIRS,h,2.0NRT,310.89,20.83,D
15.95564,-93.06238,367,0.7,0.75,2024-03-26,1832,N21,VIIRS,h,2.0NRT,309.71,19.71,D
15.95636,-93.06084,344.79,0.54,0.68,2024-03-26,2012,N21,VIIRS,n,2.0NRT,309.49,20.98,D
15.71808,-92.60072,367,0.58,0.7,2024-03-26,2012,N21,VIIRS,h,2.0NRT,308.07,23,D
15.95013,-93.06032,349.87,0.54,0.68,2024-03-26,2012,N21,VIIRS,n,2.0NRT,308.91,20.98,D
15.95581,-93.06628,355.07,0.54,0.68,2024-03-26,2012,N21,VIIRS,n,2.0NRT,314.49,20.98,D
15.80202,-92.65326,306.79,0.42,0.61,2024-03-27,0703,N21,VIIRS,n,2.0NRT,289.42,1.36,N
15.96174,-93.05864,301.64,0.45,0.63,2024-03-27,0703,N21,VIIRS,n,2.0NRT,286.71,0.78,N
15.96138,-93.06977,298.66,0.45,0.63,2024-03-27,0703,N21,VIIRS,n,2.0NRT,285,0.99,N
15.96003,-93.05778,297.62,0.45,0.63,2024-03-27,0703,N21,VIIRS,n,2.0NRT,285.41,0.67,N
15.85951,-93.04247,317.13,0.44,0.63,2024-03-27,0703,N21,VIIRS,n,2.0NRT,292.43,3.2,N
15.85916,-93.03915,304.41,0.44,0.63,2024-03-27,0703,N21,VIIRS,n,2.0NRT,292.3,2.89,N
15.80638,-92.65282,301.91,0.42,0.61,2024-03-27,0703,N21,VIIRS,n,2.0NRT,291.41,1.12,N
15.7222,-92.59653,303.31,0.41,0.61,2024-03-27,0703,N21,VIIRS,n,2.0NRT,289.18,1.97,N
15.71635,-92.59457,307.78,0.41,0.61,2024-03-27,0703,N21,VIIRS,n,2.0NRT,288.99,2.3,N
15.71086,-92.59588,301.63,0.41,0.61,2024-03-27,0703,N21,VIIRS,n,2.0NRT,286.22,0.47,N
15.86653,-93.04282,332.13,0.52,0.5,2024-03-27,1953,N21,VIIRS,n,2.0NRT,302,12.05,D
15.86138,-93.04722,335.41,0.52,0.5,2024-03-27,1953,N21,VIIRS,n,2.0NRT,304.06,15.79,D
15.86201,-93.04195,345.27,0.52,0.5,2024-03-27,1953,N21,VIIRS,n,2.0NRT,311.68,12.05,D
15.85758,-93.04036,330.28,0.52,0.5,2024-03-27,1953,N21,VIIRS,n,2.0NRT,305.27,5.36,D
15.8058,-92.65456,350.66,0.55,0.51,2024-03-27,1953,N21,VIIRS,l,2.0NRT,320.86,26.31,D
15.81038,-92.65598,354.74,0.55,0.51,2024-03-27,1953,N21,VIIRS,n,2.0NRT,318.62,29.58,D
15.56864,-93.03143,337.55,0.51,0.5,2024-03-27,1953,N21,VIIRS,n,2.0NRT,303.92,4.76,D
15.80117,-92.65369,346.55,0.55,0.51,2024-03-27,1953,N21,VIIRS,n,2.0NRT,317.93,26.31,D
15.86598,-93.04118,302.42,0.41,0.61,2024-03-28,0826,N21,VIIRS,n,2.0NRT,287.82,3.68,N
15.80398,-92.65778,299.79,0.44,0.62,2024-03-28,0826,N21,VIIRS,n,2.0NRT,289.45,2.31,N
15.80474,-92.66146,306.97,0.44,0.62,2024-03-28,0826,N21,VIIRS,n,2.0NRT,289.08,2.31,N
15.80983,-92.65779,326.01,0.44,0.62,2024-03-28,0826,N21,VIIRS,n,2.0NRT,290.15,2.31,N
15.81053,-92.66118,319.32,0.44,0.62,2024-03-28,0826,N21,VIIRS,n,2.0NRT,290.15,2.31,N
15.71673,-92.59062,319.8,0.44,0.63,2024-03-28,0826,N21,VIIRS,n,2.0NRT,289.91,3.36,N
15.85942,-93.03703,312.73,0.41,0.61,2024-03-28,0826,N21,VIIRS,n,2.0NRT,288.83,2.87,N
15.8624,-93.05147,298.2,0.41,0.61,2024-03-28,0826,N21,VIIRS,n,2.0NRT,287.4,1.13,N
15.85768,-93.02926,342.54,0.43,0.38,2024-03-29,1917,N21,VIIRS,l,2.0NRT,298.68,4.92,D
15.80548,-92.66168,367,0.42,0.37,2024-03-29,1917,N21,VIIRS,h,2.0NRT,307.93,10.84,D
15.80483,-92.66563,353.81,0.42,0.37,2024-03-29,1917,N21,VIIRS,n,2.0NRT,313.82,16.89,D
15.8089,-92.66219,340.51,0.42,0.37,2024-03-29,1917,N21,VIIRS,n,2.0NRT,304.84,10.84,D
15.80824,-92.66618,338.72,0.42,0.37,2024-03-29,1917,N21,VIIRS,n,2.0NRT,306.4,16.89,D
15.87285,-93.05045,309,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,289.95,0.64,N
15.86228,-93.02636,318.51,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,292.86,2.7,N
15.86468,-93.06288,351.32,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,296.06,4.55,N
15.86524,-93.06647,302.01,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,288.9,4.55,N
15.8674,-93.05878,308.75,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,289.95,1.68,N
15.86797,-93.06238,309.28,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,289.65,0.89,N
15.86171,-93.02276,355.17,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,296.7,10.78,N
15.86614,-93.02935,315.35,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.53,2.7,N
15.86671,-93.03295,307.5,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.97,1,N
15.86728,-93.03655,302.51,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.86,1,N
15.86899,-93.04739,311.17,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.19,0.95,N
15.85899,-93.02687,318.87,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,292.61,3.85,N
15.86081,-93.05978,321.07,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.84,1.89,N
15.85911,-93.049,328.37,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.86,3.88,N
15.85626,-93.03097,337.48,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,294.66,3.85,N
15.85569,-93.02738,339.42,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,293.84,3.85,N
15.86024,-93.05618,304.94,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.37,1.89,N
15.85683,-93.03457,301.96,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.59,1.2,N
15.85638,-93.05308,343.68,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,293.81,3.19,N
15.85752,-93.06026,308.54,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.44,1.82,N
15.85695,-93.05666,318.63,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.95,1.82,N
15.85581,-93.04951,303.25,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.23,3.19,N
15.87057,-93.03597,314.91,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,291.8,2.04,N
15.87228,-93.04683,301.89,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.09,0.64,N
15.86569,-93.04794,307.53,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.28,0.95,N
15.86956,-93.05101,302.07,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.42,0.95,N
15.86501,-93.02219,346.11,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,293.73,10.78,N
15.86558,-93.02577,332.39,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,292.61,2.7,N
15.87001,-93.03236,317.92,0.39,0.36,2024-03-30,0748,N21,VIIRS,n,2.0NRT,290.81,2.04,N
15.85735,-93.02328,334.29,0.53,0.5,2024-03-30,1858,N21,VIIRS,n,2.0NRT,297.84,8.71,D
15.86287,-93.01885,344.93,0.53,0.5,2024-03-30,1858,N21,VIIRS,n,2.0NRT,301.09,17.63,D
15.864,-93.06719,333.19,0.53,0.5,2024-03-30,1858,N21,VIIRS,n,2.0NRT,296.4,7.92,D
15.86867,-93.02416,328.02,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.37,3.82,N
15.8731,-93.02837,336.08,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.83,6.46,N
15.87612,-93.05029,305.66,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,290.3,0.71,N
15.86802,-93.0195,325.44,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.96,12.92,N
15.86738,-93.01487,348.6,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,301.68,12.92,N
15.87232,-93.05067,305.65,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,291.59,1.08,N
15.87173,-93.04639,303.77,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,291.74,1.13,N
15.86931,-93.02881,317.38,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.17,3.82,N
15.86358,-93.01521,332.44,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,295.97,12.92,N
15.86296,-93.01072,323.35,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.8,4.06,N
15.86913,-93.05552,306.05,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,291.09,1.08,N
15.86796,-93.04693,302.02,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,291.76,1.13,N
15.86421,-93.01978,308.16,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,293.36,12.92,N
15.85982,-93.01582,336.41,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,297.1,6.93,N
15.8629,-93.06618,323.74,0.52,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,292.68,2.18,N
15.85609,-93.01662,346.54,0.51,0.41,2024-03-31,0731,N21,VIIRS,n,2.0NRT,295.29,6.93,N
